*** START OF AKTAHEADER ***
Başlık: All About Dogs
Yazar: Charles Henry Lane
Yayın Tarihi: April 14, 2014 [EBook #45377]
Dil: English
Link: https://www.gutenberg.org/ebooks/45377
Çeviri: Python-deep_translator-GoogleTranslator
*** END OF AKTAHEADER ***
The Project Gutenberg EBook of All About Dogs, by Charles Henry Lane

This eBook is for the use of anyone anywhere at no cost and with
almost no restrictions whatsoever.  You may copy it, give it away or
re-use it under the terms of the Project Gutenberg License included
with this eBook or online at www.gutenberg.org/license


Title: All About Dogs
       A Book for Doggy People

Author: Charles Henry Lane

Illustrator: R. H. Moore

Release Date: April 14, 2014 [EBook #45377]

Language: English

Character set encoding: ASCII

*** START OF THIS PROJECT GUTENBERG EBOOK ALL ABOUT DOGS ***

*** START OF TURKISH PART ***
Chris Curnow, monkeyclogs ve http://www.pgdp.net adresindeki Çevrimiçi
Dağıtılmış Düzeltme Ekibi tarafından üretilmiştir (Bu
dosya The Internet Archive tarafından cömertçe sağlanan
resimlerden üretilmiştir)

KÖPEKLER HAKKINDA HER ŞEY
_Köpek İnsanları İçin Bir Kitap_

TARAFINDAN
CHARLES HENRY LANE
_Yetiştirici, Sergi Sahibi, Jüri_

[İllüstrasyon: _Pellissier & Allen, Ph. Sc._
Chas. H. Lane]

KÖPEKLER HAKKINDA HER ŞEY

KÖPEK İNSANLARI İÇİN BİR KİTAP
CHARLES HENRY LANE'DEN

Yetiştirici, Sergi Sahibi, Jüri

ZAMANIMIZIN EN ÜNLÜ ŞAMPİYONLARININ SEKSEN YEDİ RESMİYLE
YAŞAMDAN ÇİZİLMİŞ

R. H. MOORE'DAN

[Resim: Çeşitli köpekler.]

JOHN LANE
LONDRA VE NEW YORK
1901

Telif Hakkı
JOHN LANE'e aittir
1900

RIGGS PRINTING CO.
ALBANY, N.Y., ABD

_Dünyanın dört bir yanındaki Köpek severlere ve hayranlarına,
BU KÜÇÜK KİTAP
Yazar tarafından saygıyla ithaf edilmiştir, en sadık, bağlı ve güvenilir
DOST
İnsan Irkının._

İLLÜSTRASYONLAR

ÖN RESİM. YAZARIN FOTOGRAVÜRÜ.

------------------+-----------------------+---------------------+-----------------
ÇEŞİT. | HAYVAN ADI. | SAHİBİN ADI. | Sayfa.
girdiler ve iyi örnekleri satın alındı ​​ki, bir zamanlar, hatta şimdi olmasa bile, İngiltere'de İskoçya'nın herhangi bir yerinde bulunabilecekten daha fazla iyi örnek vardı. Dandies'de yalnızca iki renge izin verildiği varsayılıyor, "_Pepper_", açık ve koyu mavimsi grilerden oluşan, gümüş beyazı tepe düğümlerine sahip bir tür biber ve tuz rengi ve "_Mustard_", boynunda ve sırtında aşağıdan daha koyu olan ve ayrıca açık gümüş renkli bir tepe düğümüne sahip bir tür soluk sarımsı açık kahverengi. İyi bir kürk ve formla gösterilen, her iki renkteki yüksek sınıf bir Dandie, çok güzel küçük bir köpektir ve ülkenin en yükseklerine uygun bir arkadaştır ve bahsettiğim son cins için söylediğim gibi, tüm sınıfların mülkiyetinde görülebilir. Majesteleri
Kraliçe'nin bu cinsi beslemeye devam edip etmediğinden pek emin değilim. Windsor'da herhangi birini gördüğümü hatırlamıyorum, ancak merhum Prens Eş'in yaşamı boyunca kraliyet evcil hayvanları arasında Dandie ve Skye'lar olduğunu biliyorum. Bir kişi yalnızca bir köpek beslemek ve onunla arkadaş ve yoldaş olmak istiyorsa, bir Dandie'den daha iyisini yapabileceğini düşünmüyorum, çünkü onlar eşsiz ev köpekleridir. Yüzlercesini yetiştirdiğim, sahiplendiğim, sergilediğim ve yargıladığım için uzun ve samimi bir deneyimden bahsediyorum ve onları besleyen birini nadiren buldum, ancak birçok büyüleyici özelliğinden en yüksek terimlerle bahsediyorlar ve belki de bu cinsle ilgilenmeye devam ediyorlar, belki de bu cinsin herhangi bir örneği kaldıktan uzun süre sonra bile ve birçok durumda aynı ailelerin birkaç nesli onları beslemiştir. Yapıları yere yakın, uzun gövdeli, kısa bacaklı, büyük bir güce ve dayanıklılığa sahip ve kesinlikle tanıdığım boyutlarındaki en kaslı türlerden biri, tuhaf, asil duruşları ve derin havlamaları belirgin özellikleridir. Aşağıdakiler, yayınlanmak üzere benim tarafımdan belirlenen cinsin noktalarıdır, yıllar önce ve bunların hiç değiştirildiğinin farkında değilim:--Baş görünüşte boyuta göre büyük, kafatası oldukça geniş ve ipeksi, açık renk tüylerle kaplı, ağız derin ve orta derecede geniş, çeneler çok güçlü, dişler düz, kulaklar kalın veya geniş değil ve sivri tüylü, gözler koyu ela, çok parlak ve zeki (Pepper Dandies'te gözlerin etrafındaki koyu işaretler çok arzu edilir), göğüs derin, ön bacaklar alçaklıkla uyumlu olacak kadar düz ve bel ve arka kısımlarda olduğu gibi büyük kemik ve kas gösteriyor, kuyruk oldukça neşeli bir şekilde taşınıyor, ağırlık yirmi dört poundun altında, dişiler yirmi iki poundun altında. Renkler, biber veya hardal.

[İllüstrasyon: DÜŞÜK GÖK YÜZÜĞÜ CH. "BALLOCHMY LE BASHFUL" SIR CLAUDE
ALEXANDER BART SAHİBİ.]

_Skyes._--Belki de burada hemşerileri olan _Skyes_'lardan bahsetmek yerinde olur, onlar da arkadaş ve ev köpeği olarak hayranlık uyandıracak şekilde uyarlanmıştır, Dandie'lerin onlara göre sahip olduğu başlıca avantajlar, daha az tüy taşımaları ve daha aktif olmalarıdır. Siyahlar ve siyah benekli açık kahverengiler ara sıra görülse de, Skyes'ların baskın renkleri şüphesiz açık gümüşten koyu demir ve çeliğe kadar çeşitli gri tonlarıdır. Cins, başlıca kulaklarının taşınmasıyla ayırt edilen ve "Dropeared" ve "Prickeared" olarak bilinen iki çeşide ayrılır; birincisinde kulaklar oldukça büyüktür ve başın yanlarına doğru sarkıktır ve ikincisinde kulaklar Pomeranian'larda olduğu gibi taşınır; her türün kendine has hayranları vardır ve bazıları,
benim yaptığım gibi, her iki türü de tutar, ancak bence
dik kulaklı olanlar, düşük kulaklı olanlardan çok daha fazladır. Bu köpekler, görünüşlerinden tahmin edilenden daha aktif,
zeki ve cesurdurlar ve
sahiplerine karşı güçlü bağlar oluştururlar. İskoçya ve İngiltere'de bu türün (Windsor ve Sandringham'da hala veya eskiden kraliyet himayesinde olanlardan biri) teşviki için uzun yıllar önce kurulan kulüplerden birinin yetersiz yönetimi ve diğerinin feshedilmesi nedeniyle, Skye dünyasında işler birkaç yıldır yolunda gitmiyor, ancak birkaç gayretli yetiştiricinin hala kulübeleriyle "çalıştığını" biliyorum ve türün çıkarlarının ve servetinin yeniden canlandırılacağını ve geçmişte görülenlerden daha iyi veya aynı derecede iyi birkaç örneğin ortaya çıkacağını umuyorum. Son yıllarda çıkarılan en iyi örneklerin neredeyse hepsinde bulduğum en büyük kusur, boyutlarıdır, çünkü bence ve muhtemelen son yirmi beş yılda çıkarılan en iyi örneklerin hepsini gördüm, ağırlıkları köpeklerde bile yirmi beş poundu geçmemeli ve dişilerde iki veya üç pound daha az olmalı, küçük, iyi, uzun, alçak, sert tüylü, kemik ve ağız yapısı güçlü olanlar tercih edilmelidir, oyuncak olanlar değil. Uygun bakım ve dikkatle, bir Skye en güzel hayvan yapılabilir, bunu iyi bilinen bir kulübenin sakinlerinden birinin bir keresinde gerçekten çekip başka bir keresinde birinci sınıf bir Londra gösterisinde mümkün olan en yüksek onur için "Rezerv" olarak yerleştirilmesi kanıtlamıştır, burada tüm yarışmacılar çeşitli türlerinin şampiyonuydu.

[İllüstrasyon: PICK-EARED SKYE CH. of CH. "DÜŞES" Bayan W. J. HUGHES
SAHİP.]

Skyes'taki noktalar genellikle şu şekilde kabul edilir: Baş uzun
güçlü çeneler ve düz dişler. Kafatası önde geniş, kulaklar arasında daralır ve ağıza doğru kademeli olarak incelir, gözlerin arasında veya arkasında çok az
düşüklük vardır. Gözler, yakın, orta büyüklükte, koyu ela.
Ağız her zaman siyahtır. Kulaklar sarkık veya dik, ilkinde tam ve
iyi tüylü, önde yüze yakın durur ve ikincisinde dik durur, uçta biraz tüylenme vardır, tepeden kafatasına kadar iç kenarlarda birbirlerine doğru durur. Gövde, son derece uzun ve
alçak, omuzlar geniş, göğüs derin, kaburgalar oval şekilli ve iyi yaylanmıştır, yanlara düz bir görünüm verir. Arka kısımlar ve yanlar tam ve
iyi gelişmiştir. Düz sırt. Boyun uzun ve hafif tepeli; kuyruk,
kaldırıldığında, sırtın eğiminin bir uzantısı, alt tarafta zarifçe tüylü,
ve daha yükseğe çıkmıyor veya sırta doğru kıvrılmıyor. Bacaklar, kısa,
düz ve kaslı, çiğ pençeleri yok. Ayaklar oldukça büyük ve
öne doğru bakıyor. Alt kürk, kısa, yakın, yumuşak ve yünlü. Üst kürk, sert,
düz, düz ve canlı, ortalama beş buçuk inç uzunluğunda. Saçlar
başta daha kısa, daha yumuşak ve alnı ve gözleri örtüyor; kulaklarda,
sarkık, içte aşağı iniyor ve yan tutamlarla karışıyor,
ağır değil, ancak kulağı bir saçak gibi çevreliyor ve şeklin
görünmesini sağlıyor. Renkler: koyu veya açık mavi, gri veya çelik veya siyah noktalarla açık kahverengi. Ağırlığı yirmi dört poundu geçmeyen, birkaç pound daha az, daha yüksek olanlardan daha iyi, çünkü pek çok iyi örnek kaba olmakla
şımarıktır, en azından benim fikrim bu, cinsin önemli
pratik deneyiminden sonra ve en sadık hayranlarından biri olarak.

[İllüstrasyon: SERT TÜYLÜ İSKOÇ TERİYERİ BÖLÜM. "KILLDEE" H. J. LUDLOW
Sahibi.]

_İskoç Teriyerleri._--"Genel bir hayvan sever" olmanın talihsizliklerinden biri, hangi türü en çok sevdiğinizi asla bilememenizdir, yetiştirdiğim ve sergilediğim çok sayıda tür vardır ve yargıladığım ve birçok türle özdeşleştiğim, bunların
"en sevdiğim" olduğu varsayılır, ancak, daha önce hiç bahsetmemiş olmama rağmen, yıllardır en çok katılım aldığım türlerden bazılarını, teşvik edilmedikleri takdirde "sığ sularda" ve yok olma tehlikesiyle karşı karşıya olduklarını düşündüğüm için, benim favorilerim olmadıkları kesin bir gerçektir. Ancak arkadaşlarımın bilebileceği veya başkalarının bu kitabın içeriğinden çıkarabileceği şeylerin ötesinde herhangi bir özel çeşide yönelik tercihimi ifşa etmeyi düşünmüyorum, ancak _Scottish Terrier_ hakkında şunu söyleyeceğim, eğer bundan sonra bu çalışmadaki "Köpek Anekdotları"mda bahsedildiği gibi, onu bu ülkeye tanıtan ilk kişi ben değilsem, yirmi beş yıldan fazla bir süre önce, _en erken_ tanıtanlardan biri olmalıyım, çünkü _Fraochen_'imin (bu satırları yazarken ağzında bir Tavşanla çalılıkların arasından gelen gerçekçi resmi yanımda asılı duruyor!) buraya gelmesinden uzun süre sonrasına kadar burada hiç görmedim. Dandie için söylediğim gibi,
ve İrlanda Teriyeri için de söyleyebilirim ki, bir erkek veya kadın, her iki cinsiyet için de en iyi örnekler oldukları için,
sadece bir köpek beslemek isterse, bu üç cinsten birini _daha iyi_ bulamaz. Onlar
çelik kadar sadık, "dost" kadar sadık ve _köpekler kadar_ sadıktır! Şimdi, bu av ve pitoresk görünümlü küçük dostların büyük sınıflarında, daha büyük gösterilerde görülen tip ve karakterin büyük tekdüzeliği,
yetiştiricilerin son çeyrek yüzyıl içinde onlara ne kadar özen ve dikkat gösterdiğini kanıtlıyor.
Genel renkler, siyah, koyu gri ve kır ve bazen de taş rengidir.
Arkadaşım, merhum Kaptan Keen, beyazları tanıtmak için çaba sarf etti, ancak
çok fazla olduğunu düşünmüyorum. Her ne kadar, "Kuzey Britanya"da bu türe duyulan coşkunun azalmadığını söylemekten mutluluk duysam da, birkaç iyi örnek ve bildiğim kadarıyla (çünkü onları arkadaşlarım arasında saymaktan mutluluk duyuyorum) "Scottish Terrier"lerin birkaç hevesli hayranı "sınırın" bu tarafında bulunuyor ve onlarla, her tür "stok"ta olduğu gibi, rekabette karşılaştıklarında "en iyinin kazanması ve kaybedenin bir dahaki sefere durumu tersine çevirmek için elinden geleni yapması" her zaman dileğimdir. Eğer yer ve zaman izin verirse, hakkında çok daha fazla şey söylenebilecek bir tür hakkında bu birkaç yorumla birlikte şunları vereceğim: _Scottish Terrier'in Noktaları_.--Kafatası iyi uzunlukta, şekli biraz kavisli, kısa tüylerle kaplı ve gözlerin arasında bir düşüş var;
ağız, çok güçlü ve fazla sivri değil; burun, büyük ve siyah; dişler, aşırı büyük; gözler, koyu, küçük, ifadede delici ve
çok parlak; kulaklar, çok küçük, köşeleri keskin ve dik taşınıyor;
boyun, kısa ve güçlü; göğüs, oldukça geniş ve çok derin; vücut, sadece
orta derecede uzun ve belde çok güçlü; ön bacaklar, düz,
kısa ve kemikli, küçük, kompakt ayaklar, parmak araları
tüylerle iyi yastıklanmış; arka kısımlar çok kaslı ve dizler iyi
kıvrılmış; kuyruk orta uzunlukta ve oldukça neşeli taşınıyor; tüy, çok sert,
ve hava koşullarına dayanıklı; renkler, koyu gri, siyah, alacalı, kırmızı veya
buğday. Çok fazla beyaz işaret çok sakıncalı.

Bölüm II

İÇERİK

BÖLÜM II

İŞTE KULLANILAN KÖPEKLER

BÖLÜM SAYFA

VIII. St. Bernardlar, Newfoundlandlar, Mastiffler,
Dalmaçyalılar 147

IX. Çoban Köpekleri:--Kaba Collie'ler, Pürüzsüz Collie'ler, Eski
İngilizce 169

X. Bull Dog'lar, Bull Terrier'ler, Boston Terrier'ler 179

XI. Terrier'ler,--İrlanda, Airedale, Bedlington, Siyah ve
Ten, Eski İngilizce 199

BÖLÜM VIII

İŞTE KULLANILAN KÖPEKLER

ST. BERNARD'LAR--NEWFOUNDLAND'LAR--MASTİFLER--DALMAÇYALILAR

[Resim: ROUGH ST BERNARD CH. "SIR BEDIVERE" S. SMITH SAHİBİ.]

[Resim: SMOOTH ST BERNARD CH. "GUIDE" J. F. SMITH SAHİBİ.]

_St. Bernards._--Görünüşe göre son yirmi beş yıldır derin bir bağ kurduğum ırklardan çok uzak olsalar da, St. Bernards'a her zaman büyük bir hayranlık duyduğumu söylemeliyim ve yıllar önce, Islington'daki Laycock's Dairy Yard'da düzenlenen bir gösteride, Bay Cumming Macdona'nın orada sergilediği takıma hayran kaldığımı çok iyi hatırlıyorum (o zamanlar ve birkaç yıl sonra, St. Bernard dünyasında "büyüleyici bir isim"di) ve sonrasında arkadaşım Bay Gresham'ın Hector ve Abbess'ine (tek bir sahibin elinde gördüğüm en iyilerden ikisi) ve daha birçoklarına hayran kaldım, sayamayacağım kadar çok. Cinsin birkaç yıl önce olduğu kadar popüler olmadığını ve en iyi gösterilerimizin çoğundaki katılımcıların eskisi kadar büyük veya iyi olmadığını düşünüyorum. İstenen noktalar şunlardır: - Baş çok büyük ve geniş, gözden alt çeneye kadar büyük derinlik gösteriyor; yüz oldukça kısa; ağız geniş, derin ve kesik kare; dudaklar iyi sarkmalı ve oldukça gevşek olmalı; "dur" iyi tanımlanmış ancak çok ani değil; kafatası büyük ve iyi yuvarlak, gözler koyu renkli, orta büyüklükte, oldukça derin, alt göz kapağı hafifçe sarkık, böylece biraz kırmızı şahin görünüyor; kulaklar oldukça küçük, yanağa iyi oturuyor ve Kaba
türde çok hafif tüylü; burun siyah renkli, geniş ve derin; bacaklar çok düz, büyük kemik ve kas, dizler ve diz kapağı iyi bükülmüş; ayaklar büyük ve kompakt; vücut oldukça uzun, geniş, düz ve kaburgalar iyi yuvarlak. Düz veya Kısa tüylü çeşidin tüyleri çok sık, kalın ve hafif kırık tüylü olmalıdır. Rough çeşidinde, kürk yoğun ve düz, orta uzunlukta, yünlü değil, boyun, uyluk ve kuyrukta daha uzun olmalıdır. Renk ve işaretler: turuncu, turuncu ve açık kahverengi ve tüm
brindle tonları ve kırmızı; işaretler şu şekilde olmalıdır:--Beyaz
ağız, beyaz alevli yüz, beyaz siyahla gölgelendirilmiş, ayrıca
kulaklarda siyah gölgeler, boyun çevresinde beyaz yaka, beyaz göğüs, bacaklar
ve kuyruk ucu. Gövde yukarıdaki renklerden herhangi birinin yamalarıyla beyaz olabilir.

[İllüstrasyon: Bk NEWFOUNDLAND. CH. "BADENOCH KURT". Bayan INGLETON
SAHİBİ.]

[İllüstrasyon: LANDSEER-NEWFOUNDLAND. CH. "KETTERING WONDER". LADY
TOLLEMACHE SAHİBİ.]

_Newfoundland._--Spor dışı ırklardan, Newfoundland köpeğinden daha fazla gazetelerde yer alan çok azı vardır, çünkü sıklıkla deniz kıyılarında veya nehirlerimizin bazılarının kıyılarında hayat kurtarmakla ilişkilendirilir ve bence suya bu kadar gerçekten ve doğal olarak düşkün olan ve güç ve cesarete sahip olan çok az köpek vardır, hatta hiç yoktur, genellikle değerli yardımlarda bulunabilirler. Bir zamanlar neredeyse yok olma tehlikesiyle karşı karşıya olduklarından korkmuştum ve şu anda şovlarımızda gördüğümüz çok sayıda ve çok güzel örneğin, esas olarak, birkaç yıl önce bu ırkı çok sıcak bir şekilde benimseyen ve Newfoundland dünyasının en parlak isimlerinden biri haline gelen eski dostum Kensington'dan Bay Edwin Nichols'a borçlu olduğunu düşünüyorum. Hatırlıyorum, aranacak noktalara dair fikirleri şöyleydi: - Baş geniş ve büyük, düz bir kafatası ve biraz kare bir ağız; kulaklar küçük, hayvanın büyüklüğüne orantılı ve başa yakın; tüyler düz, yoğun ve suya dayanıklı; kuyruk neşeyle taşınıyor ancak sırtın üzerine kıvrılmıyor. Renkler: siyah, siyah ve beyaz veya bronz. Ortalama ağırlıklar, köpekler için yüz pound ve dişiler için seksen beş pound. Genel görünüm, çok karakterli, onurlu, düşünceli ve tamamen güvenilir bir muhafız, arkadaş veya dost.

[İllüstrasyon: MASTIFF CH. "BEAUFORT" W. K. TAUNTON SAHİBİ.]

_Mastiff._--Genellikle bu krallığın Ulusal ırklarından biri olarak kabul edilen bu, muhteşem bir adamdır, tavır ve tavır olarak şık ve otoriterdir ve ülkedeki en yüksek mevkideki kişiyle birlikte olmaya uygundur. Bay M.
B. Wynn'in fikrini alıntılamaktan daha iyisini yapabileceğimi sanmıyorum, birkaç yıl önce bu türün sık sık sergileyen, yetiştiren ve yargılayan kişi olarak onu iyi hatırlıyorum. Şöyle diyor:--"Ben İngiliz Mastiff'inin gerçek bir tipi olarak
düşünüyorum. Baş, en önemli özelliğidir,
kulaklar arasında geniş ve gözler arasında geniş olmalıdır. "Durdurma"
yüze doğru hatırı sayılır bir uzunluğa kadar uzanmalıdır; alın kırışık
ve düz; yanaklar çok belirgin; ağız geniş, künt ve ağır ve mümkün olduğunca
derin; profil kare ve alt çene, varsa,
alttan vurmalıdır; gözler küçük ve derin yerleşmiş, yüzün yanlarında bir miktar gevşek deri; kulaklar küçük ve yarı dik veya tamamen sarkık ve dokunulduğunda ince. Vücut: Göğüs derin ve kalın,
ön bacaklar arasında geniş; bel, geniş, düz, ağır; vücut uzun. Stern: Birçok
iyi yetiştirici uzun olanı tercih eder, ancak ben bunun diz ekleminin çok altına
ulaşmasını istemem. Bacaklar geniş, yuvarlak, iri, düz. Boy: bu çok
tartışılan bir noktadır. Ne kadar uzun olursa o kadar iyidir, yeter ki ağırlık orantılı olsun. Yirmi sekiz inç boyunda duran bir köpek,
iyi durumda yüz yirmi beş pound ağırlığında olmalı ve
bunun üzerindeki her inç boy için (_yani_, yirmi sekiz inç)
ağırlık sekiz ila on pound artmalıdır. Ancak otuz inçin üzerinde, orantılı olarak daha da büyük bir artış. Birçok iyi köpek sadece
yirmi sekiz ve yirmi dokuz inç boyundadır, ancak otuz bir ila otuz üç arası arzu edilir. Boy her zaman iri yapı ve uzunlukla birlikte olmalı ve dirsekten ayağa değil, omuzdan dirseğe doğru ilerlemelidir. Köpeğin boyunun, "aşırı bacaklılıktan" ziyade, göğüs derinliğinden türetilmesi gerektiğini kastediyorum, çünkü bu, hayvanın ağırlığını az çok geliştirmeye eğilimlidir. Sonuçta, renk son gerekliliktir, çünkü birkaç nesilde istediğiniz herhangi bir rengi üretebilirsiniz. En saf yavrular, en belirgin çizgililerden türemiştir ve zaman zaman, özellikle beyaz yüz, en iyi örneklerde ve atalarının resimlerine en çok benzeyenlerde ortaya çıkmıştır ve çıkacaktır. Ben, tüylerin inceliğinin savunucusuyum, ancak diğer daha karakteristik özellikler pahasına değil.

_Mastiff'in Noktaları._--Bu cinsin gösteri noktaları şu şekilde belirlenmiştir:--Baş büyük ve masif, kafatası düz yuvarlak, ağız kare, geniş ve derin, dişler düz, gözler koyu kahverengi veya ela renkli ve birbirinden geniş; ön bacaklar düz, kaslı ve büyük kemikli; göğüs derin; bel güçlü ve geniş. Boyut ikincil önemde,
simetri korunduğu sürece. Renkler: alacalı veya kayısı rengi açık kahverengi,
her iki durumda da burunlar, ağızlıklar ve kulaklar siyah. Genel görünüm
muazzam, asil ve iyi görünümlü bir hayvanın, bir muhafız veya
güvenilir bir arkadaş olarak çok uygun.

[İllüstrasyon: SİYAH BENEKLİ DALMAÇYALI DİŞİ CH. "BEROLINA" E. T.
PARKER SAHİBİ.]

_Dalmaçyalı._--Bu, uzun yıllardır yetiştirdiğim ve beslediğim bir tür
ve doğru hatırlıyorsam, bir keresinde Crystal Palace'ta yaklaşık altmış giriş ve Royal Tarım Salonu, Earl's Court, Birmingham ve diğer yerlerde büyük sınıflar olmak üzere şimdiye kadar gördüğüm en büyük sınıflardan bazılarını yargılamaktan zevk aldım. Bir ara sayıları çok düşük bir seviyeye inmişti, ama sanırım şimdi tekrar öne çıkıyorlar, çünkü Kennel Kulübü'nün son gösterisinde önümde çok sayıda vardı. Bence diğer tüm ırklardan daha fazla Pointer türü var, ancak onları tamamen arkadaş ve koruma olarak kullandım ve şüphesiz ki doğal bir yetenekleri var ve atlara çok düşkünler; İtalya'da ve Avrupa Kıtası'nın diğer bölgelerinde spor amaçlı olarak kullanıldıklarını biliyorum ve sıklıkla performans köpekleri topluluklarına dahil ediliyorlar, bunlardan bazılarında çok yetenekli örnekler gördüm, özellikle mizahi bir karaktere sahip olan işe kendilerini adapte ediyorlar, çok fazla ruhla ve kolayca eğitilebiliyorlar. Elbette, gösteri köpekleri olarak, işaretleri çok önemlidir. Bir süredir karaciğerin daha fazla örneğini ve artık çok nadir görülen siyah, benekli türü öne çıkarmaya çalışıyorum. Prens 4. ve yakışıklı oğlu, bu çeşidi gösteren
başarılı bir portresi olan Şampiyon Fauntleroy ve dişi Doncaster Güzeli, uzun yıllardır gördüğüm bu rengin en iyi üç örneğidir; Fawdry'nin Kaptanı
ve Leaho'su, benim Lurth ve Leah'ım, Wilson'ın Akrobatı ve Parker'ın Coming
Still'i ve Şampiyon Berolina (eskiden Wilson'ın) ve Hartley'nin Hazinesi ise uzun zamandır gördüğüm siyah benekli çeşidin en iyileridir. Onları çok uysal ve sevecen buldum, ayrıca birçok insanın sandığından daha zekiler, bir arabanın arkasında koşarken onları gördüğümden.
